"date","tau","sd_tau","pvalue_tau_left","pvalue_tau_bidirectional","pvalue_tau_right","cumulative","sd_cumulative","pvalue_sum_left","pvalue_sum_bidirectional","pvalue_sum_right","average","sd_average","pvalue_avg_left","pvalue_avg_bidirectional","pvalue_avg_right"
2014-03-16,10.7486017336491,1.20486821611527,1,0,0,10.7486017336491,1.20486821611527,1,0,0,10.7486017336491,1.20486821611527,1,0,0
2014-03-17,9.9566708996103,1.18615550232442,1,0,0,20.7052726332594,1.70124482641806,1,0,0,10.3526363166297,0.850622413209031,1,0,0
2014-03-18,10.2920079385197,1.21459287294023,1,0,0,30.9972805717792,2.07215434974639,1,0,0,10.3324268572597,0.690718116582129,1,0,0
2014-03-19,9.78472502242806,1.22283724713494,1,0,0,40.7820055942072,2.40540601035446,1,0,0,10.1955013985518,0.601351502588614,1,0,0
2014-03-20,11.5590938893439,1.13791878864167,1,0,0,52.3410994835512,2.65028949575778,1,0,0,10.4682198967102,0.530057899151556,1,0,0
2014-03-21,10.0387093774616,1.19016679303713,1,0,0,62.3798088610126,2.88235135700891,1,0,0,10.3966348101688,0.480391892834819,1,0,0
2014-03-22,9.90261083541992,1.17042911404894,1,0,0,72.2824196964326,3.09031448919514,1,0,0,10.3260599566332,0.441473498456449,1,0,0
2014-03-23,11.147706803309,1.21362432689519,1,0,0,83.4301264997415,3.31248054513214,1,0,0,10.4287658124677,0.414060068141518,1,0,0
2014-03-24,11.2091802258902,1.17967378330099,1,0,0,94.6393067256317,3.49849654551332,1,0,0,10.5154785250702,0.388721838390369,1,0,0
2014-03-25,9.91508533682994,1.20416430180216,1,0,0,104.554392062462,3.71985543485062,1,0,0,10.4554392062462,0.371985543485061,1,0,0
2014-03-26,10.704144280434,1.21194904145428,1,0,0,115.258536342896,3.89045293225859,1,0,0,10.4780487584451,0.353677539296236,1,0,0
2014-03-27,9.90181560059285,1.23432287362766,1,0,0,125.160351943488,4.12035787154475,1,0,0,10.430029328624,0.343363155962063,1,0,0
2014-03-28,10.4506984165,1.12254803885485,1,0,0,135.611050359989,4.31381762793497,1,0,0,10.4316192584607,0.331832125225766,1,0,0
2014-03-29,9.37488415901168,1.20498161835178,1,0,0,144.985934519,4.48555456866733,1,0,0,10.3561381799286,0.320396754904809,1,0,0
2014-03-30,10.2899020868918,1.22248352662206,1,0,0,155.275836605892,4.65134579462154,1,0,0,10.3517224403928,0.310089719641436,1,0,0
2014-03-31,9.51718930226572,1.17198851548497,1,0,0,164.793025908158,4.7957626084485,1,0,0,10.2995641192599,0.299735163028031,1,0,0
2014-04-01,9.88739668160592,1.20484266137726,1,0,0,174.680422589764,4.93939828425355,1,0,0,10.2753189758684,0.290552840250209,1,0,0
2014-04-02,9.59138380320741,1.19396303971405,1,0,0,184.271806392971,5.11899665827973,1,0,0,10.2373225773873,0.284388703237763,1,0,0
2014-04-03,12.3516520134046,1.15977299303295,1,0,0,196.623458406376,5.25744488787161,1,0,0,10.3486030740198,0.276707625677453,1,0,0
2014-04-04,10.2427854287906,1.16698405428439,1,0,0,206.866243835167,5.3743689900812,1,0,0,10.3433121917583,0.26871844950406,1,0,0
2014-04-05,9.6317627867764,1.19697285522432,1,0,0,216.498006621943,5.49938480803408,1,0,0,10.3094288867592,0.261875467049242,1,0,0
2014-04-06,11.2679567242271,1.23724384778912,1,0,0,227.76596334617,5.64050828085173,1,0,0,10.3529983339168,0.256386740038715,1,0,0
2014-04-07,9.99468351476301,1.18141122033214,1,0,0,237.760646860932,5.75734889701388,1,0,0,10.3374194287362,0.250319517261473,1,0,0
2014-04-08,10.3372103267157,1.15969593878934,1,0,0,248.097857187649,5.8706187280056,1,0,0,10.337410716152,0.2446091136669,1,0,0
2014-04-09,9.34168265726005,1.20801455574523,1,0,0,257.439539844908,5.92979408951351,1,0,0,10.2975815937963,0.23719176358054,1,0,0
2014-04-10,10.0515409437208,1.24231315713071,1,0,0,267.491080788629,6.09586252729484,1,0,0,10.2881184918704,0.234456251049802,1,0,0
2014-04-11,12.3610583865619,1.22611869639439,1,0,0,279.852139175191,6.18546831490257,1,0,0,10.3648940435256,0.229091419070466,1,0,0
2014-04-12,10.141765298665,1.19731281689035,1,0,0,289.993904473856,6.30463835534456,1,0,0,10.3569251597806,0.22516565554802,1,0,0
2014-04-13,8.61898441741145,1.19197245718636,1,0,0,298.612888891268,6.41540146936031,1,0,0,10.2969961686644,0.221220740322769,1,0,0
2014-04-14,12.2507069383821,1.23055527451559,1,0,0,310.86359582965,6.55476233388794,1,0,0,10.3621198609883,0.218492077796265,1,0,0
