date,tau,sd_tau,pvalue_tau_left,pvalue_tau_bidirectional,pvalue_tau_right,cumulative,sd_cumulative,pvalue_sum_left,pvalue_sum_bidirectional,pvalue_sum_right,average,sd_average,pvalue_avg_left,pvalue_avg_bidirectional,pvalue_avg_right
2014-03-16,10.720654530032064,1.202497583523286,1.0,0.0,0.0,10.720654530032064,1.202497583523286,1.0,0.0,0.0,10.720654530032064,1.202497583523286,1.0,0.0,0.0
2014-03-17,9.931790509560287,1.202497583523286,0.9999999999999999,2.220446049250313e-16,1.1102230246251565e-16,20.65244503959235,1.7005883913395048,1.0,0.0,0.0,10.326222519796175,0.8502941956697524,1.0,0.0,0.0
2014-03-18,10.323832872077162,1.202497583523286,1.0,0.0,0.0,30.976277911669513,2.082786910641131,1.0,0.0,0.0,10.325425970556504,0.6942623035470437,1.0,0.0,0.0
2014-03-19,9.741198201497312,1.202497583523286,0.9999999999999998,4.440892098500626e-16,2.220446049250313e-16,40.717476113166825,2.404995167046572,1.0,0.0,0.0,10.179369028291706,0.601248791761643,1.0,0.0,0.0
2014-03-20,11.539697849494104,1.202497583523286,1.0,0.0,0.0,52.25717396266093,2.6888663395372987,1.0,0.0,0.0,10.451434792532186,0.5377732679074597,1.0,0.0,0.0
2014-03-21,9.99327286712969,1.202497583523286,1.0,0.0,0.0,62.25044682979062,2.945505496561847,1.0,0.0,0.0,10.37507447163177,0.49091758276030784,1.0,0.0,0.0
2014-03-22,9.812743589143992,1.202497583523286,0.9999999999999998,4.440892098500626e-16,2.220446049250313e-16,72.06319041893461,3.181509558158736,1.0,0.0,0.0,10.29474148841923,0.454501365451248,1.0,0.0,0.0
2014-03-23,11.200390948387565,1.202497583523286,1.0,0.0,0.0,83.26358136732217,3.4011767826790096,1.0,0.0,0.0,10.407947670915272,0.4251470978348762,1.0,0.0,0.0
2014-03-24,11.134873421427002,1.202497583523286,1.0,0.0,0.0,94.39845478874918,3.6074927505698584,1.0,0.0,0.0,10.488717198749908,0.40083252784109535,1.0,0.0,0.0
2014-03-25,9.961959204298267,1.202497583523286,0.9999999999999999,2.220446049250313e-16,1.1102230246251565e-16,104.36041399304744,3.8026312447821473,1.0,0.0,0.0,10.436041399304745,0.38026312447821475,1.0,0.0,0.0
2014-03-26,10.756879156847845,1.202497583523286,1.0,0.0,0.0,115.11729314989529,3.9882332958557933,1.0,0.0,0.0,10.4652084681723,0.36256666325961756,1.0,0.0,0.0
2014-03-27,9.90753242558533,1.202497583523286,0.9999999999999999,2.220446049250313e-16,1.1102230246251565e-16,125.02482557548062,4.165573821282262,1.0,0.0,0.0,10.418735464623385,0.34713115177352183,1.0,0.0,0.0
2014-03-28,10.440495257658824,1.202497583523286,1.0,0.0,0.0,135.46532083313946,4.335666696014749,1.0,0.0,0.0,10.420409294856881,0.3335128227703653,1.0,0.0,0.0
2014-03-29,9.36484999861527,1.202497583523286,0.9999999999999966,6.8833827526759706e-15,3.4416913763379853e-15,144.83017083175474,4.499333965967717,1.0,0.0,0.0,10.345012202268196,0.3213809975691227,1.0,0.0,0.0
2014-03-30,10.33564912980765,1.202497583523286,1.0,0.0,0.0,155.1658199615624,4.6572531148403495,1.0,0.0,0.0,10.344387997437492,0.31048354098935665,1.0,0.0,0.0
2014-03-31,9.449968886387381,1.202497583523286,0.9999999999999981,3.774758283725532e-15,1.887379141862766e-15,164.61578884794977,4.809990334093144,1.0,0.0,0.0,10.28848680299686,0.3006243958808215,1.0,0.0,0.0
2014-04-01,9.89079951141943,1.202497583523286,0.9999999999999999,2.220446049250313e-16,1.1102230246251565e-16,174.5065883593692,4.9580245514165036,1.0,0.0,0.0,10.26509343290407,0.2916485030245002,1.0,0.0,0.0
2014-04-02,9.604262159530961,1.202497583523286,0.9999999999999993,1.3322676295501878e-15,6.661338147750939e-16,184.11085051890018,5.101765174018515,1.0,0.0,0.0,10.228380584383343,0.28343139855658417,1.0,0.0,0.0
2014-04-03,12.355403354537515,1.202497583523286,1.0,0.0,0.0,196.4662538734377,5.241565446429864,1.0,0.0,0.0,10.340329151233563,0.2758718656015718,1.0,0.0,0.0
2014-04-04,10.196291967462457,1.202497583523286,1.0,0.0,0.0,206.66254584090015,5.377732679074597,1.0,0.0,0.0,10.333127292045008,0.26888663395372986,1.0,0.0,0.0
2014-04-05,9.673520116379493,1.202497583523286,0.9999999999999996,8.881784197001252e-16,4.440892098500626e-16,216.33606595727963,5.510536199496941,1.0,0.0,0.0,10.301717426537126,0.26240648569033054,1.0,0.0,0.0
2014-04-06,11.260817728244106,1.202497583523286,1.0,0.0,0.0,227.59688368552372,5.640213616907212,1.0,0.0,0.0,10.345312894796534,0.2563733462230551,1.0,0.0,0.0
2014-04-07,10.004571985864615,1.202497583523286,1.0,0.0,0.0,237.60145567138835,5.766975817768345,1.0,0.0,0.0,10.330498072669059,0.2507380790334063,1.0,0.0,0.0
2014-04-08,10.2928792435751,1.202497583523286,1.0,0.0,0.0,247.89433491496345,5.891010993123694,1.0,0.0,0.0,10.328930621456811,0.24545879138015392,1.0,0.0,0.0
2014-04-09,9.38700926211878,1.202497583523286,0.999999999999997,5.995204332975845e-15,2.9976021664879227e-15,257.28134417708225,6.01248791761643,1.0,0.0,0.0,10.29125376708329,0.2404995167046572,1.0,0.0,0.0
2014-04-10,10.069451482969512,1.202497583523286,1.0,0.0,0.0,267.35079566005174,6.131558643433405,1.0,0.0,0.0,10.28272291000199,0.2358291785935925,1.0,0.0,0.0
2014-04-11,12.386625751487841,1.202497583523286,1.0,0.0,0.0,279.7374214115396,6.248360731923394,1.0,0.0,0.0,10.360645237464428,0.23142076784901458,1.0,0.0,0.0
2014-04-12,10.117165631156084,1.202497583523286,1.0,0.0,0.0,289.85458704269564,6.363019116317472,1.0,0.0,0.0,10.35194953723913,0.227250682725624,1.0,0.0,0.0
2014-04-13,8.610648292891383,1.202497583523286,0.9999999999995984,8.031353360138382e-13,4.015676680069191e-13,298.465235335587,6.475647667453884,1.0,0.0,0.0,10.29190466674438,0.22329819542944426,1.0,0.0,0.0
2014-04-14,12.257579310137302,1.202497583523286,1.0,0.0,0.0,310.7228146457243,6.586350518411563,1.0,0.0,0.0,10.357427154857477,0.21954501728038542,1.0,0.0,0.0
